                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1043,                 1.2869,                 1.4732,                0.45931,                0.63265,                0.49276,                0.27167,                 1.6357,                 2.0956,                 2.2554,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1142,                 1.2243,                 1.5007,                0.52484,                 0.4936,                 0.5303,                0.30939,                 1.5587,                 1.9965,                 2.1926,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1291,                 1.2376,                 1.4765,                0.57037,                0.42553,                0.50179,                 0.2757,                 1.5992,                 1.9697,                 2.2348,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1094,                 1.1891,                 1.4796,                0.44074,                0.70213,                 0.5576,                0.31018,                 1.6107,                 1.9444,                 2.2985,               0.000614,               0.000614,               0.000614
                     38,                  1.103,                 1.2047,                 1.4904,                0.43235,                 0.7293,                0.56844,                0.32741,                 1.5784,                 1.9604,                  2.221,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0979,                 1.2488,                 1.4747,                0.53115,                0.48936,                0.50448,                0.28569,                 1.6653,                 2.0353,                 2.3144,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1003,                 1.1809,                 1.4739,                0.46979,                0.46809,                0.45548,                0.27349,                 1.6857,                  2.194,                 2.3284,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0015,                 1.4932,                 1.5558,                0.65106,                0.47653,                0.49266,                0.27552,                 1.6501,                 2.1557,                 2.2596,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.9527,                 1.2748,                 1.5524,                0.53777,                0.61702,                0.53176,                0.29823,                  1.675,                 2.1412,                 2.2335,               0.000416,               0.000416,               0.000416
                     43,                0.97576,                 1.2875,                 1.5225,                0.53449,                0.61702,                0.49936,                0.28379,                 1.6313,                 2.1543,                 2.2249,              0.0003764,              0.0003764,              0.0003764
                     44,                0.93419,                 1.2249,                 1.4837,                0.61294,                0.50551,                0.53061,                0.29258,                  1.627,                 1.9993,                 2.2061,              0.0003368,              0.0003368,              0.0003368
                     45,                0.88022,                 1.1546,                 1.4378,                0.46874,                0.65957,                0.60393,                0.35998,                 1.5851,                 1.8865,                 2.1796,              0.0002972,              0.0002972,              0.0002972
                     46,                0.90683,                 1.1663,                 1.5228,                0.44311,                 0.7111,                0.60124,                0.36547,                 1.5758,                 1.9282,                 2.1628,              0.0002576,              0.0002576,              0.0002576
                     47,                0.87233,                 1.0911,                 1.4731,                0.41602,                 0.7234,                0.58654,                0.35715,                 1.5591,                 2.0044,                 2.1451,               0.000218,               0.000218,               0.000218
                     48,                0.90093,                 1.0685,                 1.4422,                0.57674,                0.46809,                0.56837,                0.34658,                 1.5253,                 2.0615,                 2.1159,              0.0001784,              0.0001784,              0.0001784
                     49,                0.84937,                 1.1099,                 1.4598,                0.44497,                0.65957,                0.57076,                0.33947,                 1.5733,                 2.0085,                 2.1711,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.8494,                 1.0773,                 1.4385,                0.43608,                0.61702,                0.57749,                 0.3449,                 1.5893,                 1.9613,                 2.1934,               9.92e-05,               9.92e-05,               9.92e-05
